Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
UgwZSeSm3d68Cd3w1494AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2019-06-24T06:27:02.136274+00:00,0,,,tefUJMCw2uI,"{""text"":""What if the pilot deliberately crashed the plane in deep sea and a Chinese submarine was already there waiting?""}",
UgxfWr2_C0dIho1akxl4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2019-06-17T00:18:49.263984+00:00,0,,,7qOl97KGQDc,"{""text"":""Can I get this at a Gordan Ramsay restaurant?""}",
UgzbFgJ51wU5l0ZG4pN4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2019-06-16T06:06:02.036356+00:00,0,,,5rQlUsfMWxg,"{""text"":""Bitch setting a political  trap... Russell be like..\""not going down that rabbit hole!!\""""}",
Ugxp5547hDxbu1teXGl4AaABAg.8vjhCtw8c-y8vlPzNTyz-7,UCQHcGs-Dub4lqoMVppqrlvw,2019-06-04T17:00:06.393716+00:00,0,Ugxp5547hDxbu1teXGl4AaABAg.8vjhCtw8c-y8vkrpKIVor-,,ucgzaNBDl60,"{""text"":""@Pratham Rana"",""mention"":{""externalChannelId"":""UCnS005JnTbqY5K9_9WJI7fQ""}},{""text"":"" bhai inki batte Mann pe mat le... English is not our first language...toh bhosade me Gaya Inka grammar aur inki batte""}",Ugxp5547hDxbu1teXGl4AaABAg
Ugxp5547hDxbu1teXGl4AaABAg.8vjhCtw8c-y8vjyIpTTLRk,UCQHcGs-Dub4lqoMVppqrlvw,2019-06-04T03:30:15.220486+00:00,0,Ugxp5547hDxbu1teXGl4AaABAg,,ucgzaNBDl60,"{""text"":""No football channel has the balls to declare a single winner, they know they would lose half of their fan base""}",Ugxp5547hDxbu1teXGl4AaABAg
UgylHA4n938yhN85mTB4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2019-05-30T06:30:28.185446+00:00,0,,,YXG5-8hAy-Q,"{""text"":""Imran Khan is THE captain of Pakistan cricket team first and the prime minister of Pakistan second""}",
UgzC6pWBhgEjMG7V0ct4AaABAg.8vTlIpUsidC8vXD-_dv9Pj,UCQHcGs-Dub4lqoMVppqrlvw,2019-05-29T19:18:04.060249+00:00,0,UgzC6pWBhgEjMG7V0ct4AaABAg,,evSXfRIfYXo,"{""text"":""And Jijau🙏""}",UgzC6pWBhgEjMG7V0ct4AaABAg
UgzNXTvdr4ru053nQsd4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2019-05-27T20:49:28.542949+00:00,0,,,v5DWJv1hiwM,"{""text"":""Why shouldn't India colonize cricket?? Does America bother about spreading NFL or baseball or basketball?? They don't! And that's why they are the richest leagues in the world even ahead of Premier league""}",
UgyCVdkN-58jXuTmu0p4AaABAg.8v7Bu5rTGNV8v8W0mBe2CB,UCQHcGs-Dub4lqoMVppqrlvw,2019-05-20T05:03:14.522988+00:00,0,UgyCVdkN-58jXuTmu0p4AaABAg.8v7Bu5rTGNV8v8VUsxtEV-,,2NoMrid--os,"{""text"":""@Anirudh Bhadri"",""mention"":{""externalChannelId"":""UCzrK1hWQ_iuGQBPAVBeNuQQ""}},{""text"":"" or Ranjit Bajaj""}",UgyCVdkN-58jXuTmu0p4AaABAg
UgxpjzFqdmyQYcfSQ5l4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2019-05-19T23:52:54.890119+00:00,0,,,v2HYFTGrdsM,"{""text"":""Tumse milna and this song sound similar...is it just me?""}",
