Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
Ugwk86YZ9ZXXxLPvx-x4AaABAg.9GpA0eCkT2i9HNpjduCCxS,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-17T19:54:56.475542+00:00,0,Ugwk86YZ9ZXXxLPvx-x4AaABAg.9GpA0eCkT2i9HAPhBIitft,,AUNhEKZ_Vg0,"{""text"":""@Seen on hai Seen on hai"",""mention"":{""externalChannelId"":""UCQAZFBndG79wC2D2yggfY6A""}},{""text"":"" pra! Aisa kabhi nahi hoga...hindu kabhi Guru Teg Bahadur🙏 ki aahuti nahi bhulega""}",Ugwk86YZ9ZXXxLPvx-x4AaABAg
UgyihEDPAiSaHiQbbjR4AaABAg.9GpGHpxNQPl9HNpCl-YATr,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-17T19:50:18.841625+00:00,0,UgyihEDPAiSaHiQbbjR4AaABAg.9GpGHpxNQPl9HIWZxeAub8,,AUNhEKZ_Vg0,"{""text"":""@13 Rahul Malik"",""mention"":{""externalChannelId"":""UCaygDwMoLIIIO7rHU_SsUFg""}},{""text"":"" true""}",UgyihEDPAiSaHiQbbjR4AaABAg
UgwRLq6gP29SNQV1NAp4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-07T19:46:23.74548+00:00,0,,,LtDgNSK2MlM,"{""text"":""SG ji, you are a sly man....you did the dog stunt on purpose didn't you....nm, we all loved it❤️""}",
UgxkqbkXO68kn4C61cd4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-07T17:43:13.559052+00:00,0,,,Q1fRvlhtLMc,"{""text"":""Can't wait to see Goa-Belgaon-Kolhapur derby rivalry in ISL...As a kid I remember Goan and belgavi teams coming to Kolhapur to play local cup ties in Shahu Stadium...""}",
UgzZOoP2XvAV8mmCwkR4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-05T13:28:18.230448+00:00,0,,,NVXyXjZS2MQ,"{""text"":""Shouldn't the villain know that you can't burn someone while traveling back in time?""}",
Ugz7moRmAZm10NMGgxx4AaABAg.9GrDy7AUN419GrOgps0-h_,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-04T20:14:57.104205+00:00,0,Ugz7moRmAZm10NMGgxx4AaABAg.9GrDy7AUN419GrFcw4XDEi,,hiw5QYpj2eM,"{""text"":""@Joshy J S"",""mention"":{""externalChannelId"":""UCP-KQA_k71lLTTTKKA2jLQg""}},{""text"":"" hmm...so isl will need atleast 3-4 seasons to bring in VAR""}",Ugz7moRmAZm10NMGgxx4AaABAg
UgyE5CsMSgepeCD8O-N4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-04T19:42:07.437276+00:00,0,,,wfBAI2J3-Ok,"{""text"":""Ek kal hota jevha Balasahebancha tiraskaar karaycho (Ghadyal bhakt) ...but today I definitely miss him""}",
UgzQ1ydIGlZeDbtRpON4AaABAg.9Gm6Xlv8wcL9GrKTil0mm5,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-04T19:38:04.369861+00:00,0,UgzQ1ydIGlZeDbtRpON4AaABAg.9Gm6Xlv8wcL9GqdClXmqJD,,wfBAI2J3-Ok,"{""text"":""@Kumar Jagtap"",""mention"":{""externalChannelId"":""UC44oiUqPVchnsoBsO4A6epQ""}},{""text"":"" ohh jagtap, india la develop vhaycha asel tr up Bihar develop vhaylach hava (25% of India's population).. development ala ki apop gunda gardi kami hote...apla Maharashtra tyacha uttam udharan ahe...tasa hi Maharashtra madhe bollywood aslya mule marathi picture mar khatat...south kade bagh...tyana kahi ghena dena nai hindi cinema kade...tyanche regional movies (eg. Bahubali and Rajnikanth) are earning as much as bollywood...up walyana swatchi industry milali tr tyancha pan bhala hoil na?""}",UgzQ1ydIGlZeDbtRpON4AaABAg
Ugz7moRmAZm10NMGgxx4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-04T18:41:11.702952+00:00,0,,,hiw5QYpj2eM,"{""text"":""How hard/costly would it be for isl to implement VAR next season?""}",
UgwGXCDtsuW3ItiqRWh4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-01T16:55:19.28834+00:00,0,,,qQqy4qcC6Co,"{""text"":""Idk, probably you are just speculating indian /hindu history which is mostly against the left narrative which believes Indic societies were not developed enough before industrial revolution....and your videos are used as a source of information (misinformation according to youtube) by many indian right wing channels like AKTK""}",
